# of Units,Date,Description,Address,Location Type
1,1/22/18 13:03,"Unintentional transmission of alarm, other",2601  Rattler RD ,High school/junior high school/middle school
1,1/22/18 13:05,Dispatched & cancelled en route,211 W San Antonio ST ,Vehicle parking area
2,1/22/18 13:18,No incident found on arrival at dispatch address,1000  River RD ,"Residential street, road or residential driveway"
1,1/22/18 14:07,Gas leak (natural gas or LPG),  Los Santos DR ,Graded and cared-for plots of land
1,1/22/18 15:28,No incident found on arrival at dispatch address,  Perkins ST ,"Residential street, road or residential driveway"
1,1/22/18 16:17,No incident found on arrival at dispatch address,2319 S IH 35  ,"Parking garage, general vehicle"
1,1/22/18 20:56,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,1/22/18 23:43,"EMS call, excluding vehicle accident with injury",817  Chestnut ST ,Multifamily dwellings
1,1/23/18 3:42,"Person in distress, other",624  Dancing Oak LN ,1 or 2 family dwelling
3,1/23/18 10:19,Vehicle accident with injuries,  Hwy 21  ,Highway or divided highway
1,1/23/18 12:29,Vehicle accident with injuries, N Guadalupe ST ,Street or road in commercial area
2,1/23/18 12:31,Gasoline or other flammable liquid spill,170  Charles Austin DR ,Vehicle parking area
1,1/23/18 13:16,No incident found on arrival at dispatch address,1401 E McCarty LN ,Vehicle parking area
4,1/23/18 13:51,Grass fire,600  Staples RD ,Graded and cared-for plots of land
2,1/23/18 14:15,Motor vehicle accident with no injuries,1200 N Bishop ST ,Vehicle parking area
1,1/23/18 16:51,"EMS call, excluding vehicle accident with injury",1100  Earle ST ,1 or 2 family dwelling
3,1/23/18 17:01,Gasoline or other flammable liquid spill,1015  Hwy 80  ,"General retail, other"
4,1/23/18 17:40,Grass fire,3877  Hwy 21  ,1 or 2 family dwelling
1,1/23/18 19:28,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,1/23/18 22:50,"EMS call, excluding vehicle accident with injury",1611  Mockingbird DR ,1 or 2 family dwelling
2,1/23/18 23:11,"Electrical  wiring/equipment problem, other",650  River RD ,Multifamily dwellings
0,1/24/18 0:44,Overheated motor,199  NB  ,Highway or divided highway
1,1/24/18 4:04,"EMS call, excluding vehicle accident with injury",228  Rail Head RD ,1 or 2 family dwelling
1,1/24/18 6:27,"Medical assist, assist EMS crew",1610 N IH 35  ,Multifamily dwellings
1,1/24/18 10:55,"Medical assist, assist EMS crew",1437  Post RD ,"Elementary school, including kindergarten"
2,1/24/18 13:01,Overheated motor,2005  Technology WAY ,"Manufacturing, processing"
1,1/24/18 13:22,"EMS call, excluding vehicle accident with injury",1150 E River Ridge PKWY ,Multifamily dwellings
1,1/24/18 16:58,"Medical assist, assist EMS crew",1241 W Hopkins ST ,1 or 2 family dwelling
3,1/24/18 17:52,Vehicle accident with injuries,105 N IH 35  ,Highway or divided highway
0,1/24/18 17:59,"EMS call, excluding vehicle accident with injury",624  Dancing Oak LN ,1 or 2 family dwelling
6,1/24/18 18:10,Outside storage fire,409  Armstrong ST ,Vacant lot
1,1/24/18 19:53,"Smoke scare, odor of smoke",  Bliss LN ,"Residential street, road or residential driveway"
1,1/25/18 4:08,"EMS call, excluding vehicle accident with injury",1911  Old Ranch Road 12  ,1 or 2 family dwelling
1,1/25/18 6:59,"EMS call, excluding vehicle accident with injury",646  Foxtail RUN ,1 or 2 family dwelling
2,1/25/18 11:18,"EMS call, excluding vehicle accident with injury",1560 S IH 35  ,"Hotel/motel, commercial"
1,1/25/18 11:43,"EMS call, excluding vehicle accident with injury",712 N Comanche ST ,"Adult education center, college classroom"
1,1/25/18 11:54,"EMS call, excluding vehicle accident with injury",2213 S IH 35  ,"Eating, drinking places"
1,1/25/18 12:24,Hazmat release investigation w/ no hazmat,221 N C M Allen PKWY ,Street or road in commercial area
1,1/25/18 12:28,No incident found on arrival at dispatch address,1300  Wonder World DR ,Street or road in commercial area
1,1/25/18 12:41,No incident found on arrival at dispatch address, N Bishop ST ,"Residential street, road or residential driveway"
1,1/25/18 13:22,"EMS call, excluding vehicle accident with injury",1180  Thorpe LN ,"Ballroom, gymnasium"
1,1/25/18 16:03,"EMS call, excluding vehicle accident with injury",1250  Sadler DR ,Multifamily dwellings
1,1/25/18 17:00,No incident found on arrival at dispatch address,1980  Aquarena Springs DR ,Multifamily dwellings
0,1/25/18 17:51,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
0,1/26/18 8:43,Vehicle accident with injuries,  Ranch Road 12  ,Highway or divided highway
2,1/26/18 12:06,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Multifamily dwellings
2,1/26/18 15:37,Dispatched & cancelled en route,200  SB  ,Highway or divided highway
1,1/26/18 15:55,Dispatched & cancelled en route,124 W Hopkins ST ,"Recreational, hobby, home repair sales, pet store"
1,1/26/18 17:33,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,1/26/18 17:46,"Alarm system sounded, no fire - unintentional",1019  Hwy 80  ,Specialty shop
0,1/26/18 20:28,Motor vehicle/pedestrian accident (MV Ped),100  Llano CIR ,"Street, other"
1,1/26/18 21:14,Motor vehicle accident with no injuries,1101 E River Ridge PKWY ,Street or road in commercial area
1,1/26/18 22:05,"Medical assist, assist EMS crew",1015  Hwy 80  ,"General retail, other"
1,1/26/18 22:34,Motor vehicle accident with no injuries,  Hughson CT ,"Residential street, road or residential driveway"
1,1/26/18 22:55,"System malfunction, other",1942 S IH 35  ,"Manufacturing, processing"
1,1/26/18 23:34,Dispatched & cancelled en route,126 S Guadalupe ST ,Bar or nightclub
2,1/27/18 2:07,Motor vehicle accident with no injuries,201  SB  ,Highway or divided highway
1,1/27/18 6:17,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
6,1/27/18 7:58,Building fire,409  Armstrong ST ,1 or 2 family dwelling
1,1/27/18 12:37,"Smoke scare, odor of smoke",  Harvard ST ,1 or 2 family dwelling
2,1/27/18 13:34,Dispatched & cancelled en route,1506 S IH 35  ,Multifamily dwellings
2,1/27/18 13:45,"EMS call, excluding vehicle accident with injury",426  Linda DR ,1 or 2 family dwelling
6,1/27/18 14:26,"Fuel burner/boiler malfunction, fire confined",700  Moore ST ,"Eating, drinking places"
1,1/27/18 19:55,"Medical assist, assist EMS crew",2008  Lancaster ST ,1 or 2 family dwelling
1,1/28/18 12:54,"EMS call, excluding vehicle accident with injury",1818  Old Ranch Road 12  ,Multifamily dwellings
4,1/28/18 14:42,Vehicle accident with injuries,1901 N IH 35  ,Highway or divided highway
2,1/28/18 16:35,Dispatched & cancelled en route,205  NB  ,Highway or divided highway
2,1/28/18 17:08,Vehicle accident with injuries,1700  Hwy 123  ,Highway or divided highway
1,1/28/18 18:46,"EMS call, excluding vehicle accident with injury",1022  Haynes ST ,1 or 2 family dwelling
1,1/28/18 19:25,"Medical assist, assist EMS crew",2913  Hunter RD ,Multifamily dwellings
1,1/28/18 19:47,Unauthorized burning,  Craddock AVE ,1 or 2 family dwelling
1,1/28/18 21:48,"EMS call, excluding vehicle accident with injury",1301 N Bishop ST ,1 or 2 family dwelling
1,1/29/18 2:08,"EMS call, excluding vehicle accident with injury",2018  Stonehaven  ,1 or 2 family dwelling
1,1/29/18 10:20,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,1/29/18 10:54,"EMS call, excluding vehicle accident with injury",1616  Lancaster ST ,1 or 2 family dwelling
0,1/29/18 11:34,"EMS call, excluding vehicle accident with injury",608 N Edward Gary ST ,Restaurant or cafeteria
5,1/29/18 14:06,No incident found on arrival at dispatch address,1441  Leah AVE ,Multifamily dwellings
2,1/29/18 15:31,No incident found on arrival at dispatch address,  Del Sol DR ,"Residential street, road or residential driveway"
1,1/29/18 15:36,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
3,1/29/18 15:43,"Brush, or brush and grass mixture fire",  Francis Harris LN ,Crops or orchard
1,1/29/18 22:26,"Hazardous condition, other",1700  Hwy 21  ,Highway or divided highway
1,1/30/18 1:00,"Medical assist, assist EMS crew",2990 S IH 35 DR ,Highway or divided highway
1,1/30/18 5:46,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Multifamily dwellings
1,1/30/18 7:33,Gas leak (natural gas or LPG),  Hwy 21  ,"Gas distribution, pipeline, gas distribution"
1,1/30/18 8:16,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
1,1/30/18 9:56,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
1,1/30/18 10:20,"Medical assist, assist EMS crew",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
3,1/30/18 15:05,Grass fire,321  Bridlewood DR ,Graded and cared-for plots of land
3,1/30/18 15:20,Grass fire,  Fm 2325  ,"Street, other"
1,1/30/18 20:43,"EMS call, excluding vehicle accident with injury",305  Parker DR ,1 or 2 family dwelling
1,1/31/18 0:48,"EMS call, excluding vehicle accident with injury",1137  Hilltop DR ,1 or 2 family dwelling
0,1/31/18 1:18,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,1/31/18 2:25,"EMS call, excluding vehicle accident with injury",1410  Marlton ST ,Multifamily dwellings
5,1/31/18 4:39,Vehicle accident with injuries,208 W Access RD ,Highway or divided highway
2,1/31/18 9:24,"EMS call, excluding vehicle accident with injury",618 W Hutchison ST ,Mental retardation/development disability facility
1,1/31/18 9:35,"Unintentional transmission of alarm, other",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,1/31/18 10:22,Vehicle accident with injuries,  Hwy 80  ,Highway or divided highway
1,1/31/18 11:41,Gas leak (natural gas or LPG),522  Silo ST ,1 or 2 family dwelling
1,1/31/18 12:23,"EMS call, excluding vehicle accident with injury",712 N Comanche ST ,"Adult education center, college classroom"
2,1/31/18 12:35,Dispatched & cancelled en route,  Yarrington RD ,Highway or divided highway
1,1/31/18 12:38,Gas leak (natural gas or LPG),1301  Wonder World DR ,Graded and cared-for plots of land
2,1/31/18 13:52,"EMS call, excluding vehicle accident with injury",1103  Hwy 80  ,Highway or divided highway
2,1/31/18 16:33,"EMS call, excluding vehicle accident with injury",405  Faris ST ,1 or 2 family dwelling
2,1/31/18 16:50,"Good intent call, other",203  NB  ,Highway or divided highway
2,1/31/18 16:58,"EMS call, excluding vehicle accident with injury",1214 S IH 35  ,"Service station, gas station"
2,1/31/18 17:02,Dispatched & cancelled en route,  EXIT 201 SB  ,Highway or divided highway
2,1/31/18 17:12,"Good intent call, other",204  NB  ,Highway or divided highway
2,1/31/18 19:24,Motor vehicle accident with no injuries,201  SB  ,Highway or divided highway
1,1/31/18 19:59,"Smoke detector activation, no fire - unintentional",737  Foxtail RUN ,1 or 2 family dwelling
1,1/31/18 20:13,"EMS call, excluding vehicle accident with injury",1025  Field ST ,1 or 2 family dwelling
1,1/31/18 22:56,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
1,2/1/18 9:16,"EMS call, excluding vehicle accident with injury",1100  Aquarena Springs DR ,Vehicle parking area
1,2/1/18 10:03,Lock-out,612  Chicago ST ,1 or 2 family dwelling
1,2/1/18 10:17,Unauthorized burning,2000  Old Ranch Road 12  ,1 or 2 family dwelling
1,2/1/18 10:26,"EMS call, excluding vehicle accident with injury",209 N IH 35  ,Vehicle parking area
4,2/1/18 10:47,Extrication of victim(s) from building/structure,  Post RD ,Construction site
1,2/1/18 11:10,"Vehicle accident, general cleanup",  Clarewood DR ,Highway or divided highway
1,2/1/18 12:09,"EMS call, excluding vehicle accident with injury",1804  Lancaster ST ,1 or 2 family dwelling
1,2/1/18 12:44,Gas leak (natural gas or LPG),133  Tallow TRL ,1 or 2 family dwelling
1,2/1/18 14:26,"EMS call, excluding vehicle accident with injury",200  Cheatham ST ,Vehicle parking area
1,2/1/18 14:44,"EMS call, excluding vehicle accident with injury",626 N Lbj DR ,"Adult education center, college classroom"
1,2/1/18 15:04,"Medical assist, assist EMS crew",941  Barnes DR ,Construction site
1,2/1/18 16:44,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
3,2/1/18 16:48,Assist police or other governmental agency,202  SB  ,Highway or divided highway
3,2/1/18 17:08,No incident found on arrival at dispatch address,1807  Airport DR ,Aircraft runway
2,2/1/18 18:48,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
1,2/1/18 19:07,"Smoke scare, odor of smoke",1640  Aquarena Springs DR ,Multifamily dwellings
1,2/1/18 21:26,"EMS call, excluding vehicle accident with injury",103  Canyon RD ,1 or 2 family dwelling
3,2/2/18 3:12,Hazmat release investigation w/ no hazmat,831  Sagewood TRL ,Multifamily dwellings
1,2/2/18 11:50,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
3,2/2/18 12:09,Motor vehicle accident with no injuries,204  Sb35 IH ,Highway or divided highway
1,2/2/18 15:43,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,2/2/18 16:13,Motor vehicle accident with no injuries,800 E McCarty LN ,Highway or divided highway
3,2/2/18 16:45,Bomb scare - no bomb,1210  Wonder World DR ,Vehicle parking area
2,2/2/18 17:31,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,2/3/18 1:17,Power line down,1646  Aquarena Springs DR ,Restaurant or cafeteria
1,2/3/18 1:32,"EMS call, excluding vehicle accident with injury",1209  Crystal River PKWY ,"Residential street, road or residential driveway"
0,2/3/18 2:30,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
2,2/3/18 3:16,"EMS call, excluding vehicle accident with injury",1421  Schulle DR ,1 or 2 family dwelling
1,2/3/18 4:28,"EMS call, excluding vehicle accident with injury", N Edward Gary ST ,Street or road in commercial area
2,2/3/18 4:54,"Person in distress, other",207  SB  ,Street or road in commercial area
0,2/3/18 6:20,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
1,2/3/18 10:11,"Medical assist, assist EMS crew",213  South Fork RD ,1 or 2 family dwelling
1,2/3/18 13:30,"EMS call, excluding vehicle accident with injury",1408  Highland DR ,1 or 2 family dwelling
1,2/3/18 13:33,Lock-out,3939 S IH 35  ,"Parking garage, general vehicle"
1,2/3/18 20:25,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
1,2/3/18 22:15,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
1,2/4/18 9:54,"Medical assist, assist EMS crew",2534  Missum PT ,1 or 2 family dwelling
1,2/4/18 12:22,"EMS call, excluding vehicle accident with injury",139  Segovia RD ,1 or 2 family dwelling
1,2/4/18 14:47,Motor vehicle accident with no injuries, W Hopkins ST ,Street or road in commercial area
1,2/4/18 15:13,"Medical assist, assist EMS crew",1740  Old Ranch Road 12  ,Multifamily dwellings
2,2/4/18 15:39,Vehicle accident with injuries,204 N NB  ,1 or 2 family dwelling
1,2/4/18 15:42,"EMS call, excluding vehicle accident with injury",204  Oakdale DR ,1 or 2 family dwelling
2,2/4/18 16:04,"Alarm system sounded, no fire - unintentional",1506 S IH 35  ,Multifamily dwellings
2,2/4/18 21:06,"Sprinkler activation, no fire - unintentional",650  River RD ,Multifamily dwellings
1,2/4/18 21:32,"Medical assist, assist EMS crew",1348  Thorpe LN ,Multifamily dwellings
1,2/4/18 22:06,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,Multifamily dwellings
1,2/4/18 22:37,No incident found on arrival at dispatch address, N LBJ DR ,"Residential street, road or residential driveway"
0,2/5/18 2:39,Motor vehicle accident with no injuries,2769 N IH 35  ,Highway or divided highway
0,2/5/18 8:01,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,2/5/18 8:16,Dispatched & cancelled en route,1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
2,2/5/18 9:32,"EMS call, excluding vehicle accident with injury",737  Gravel ST ,1 or 2 family dwelling
1,2/5/18 10:59,"EMS call, excluding vehicle accident with injury",520  Wonder World DR ,1 or 2 family dwelling
